GlobalLeftX,GlobalLeftY,GlobalRightX,GlobalRightY
19956,11391,20135,11516
19920,11306,20085,11431
19531,11431,19690,11568
19675,11541,19836,11681
19777,11386,19969,11509
19814,11606,19965,11749
19560,11712,19711,11864
19661,11819,19820,11962
19742,11887,19910,12014
19821,12035,19978,12143
20064,11725,20203,11873
20106,12146,20265,12258
19970,12104,20132,12217
19655,12055,19829,12153
19535,12004,19727,12084
19954,11606,20110,11749
20047,11472,20220,11595
20263,11472,20431,11593
20247,11728,20410,11873
20177,11932,20349,12025
19941,11884,20088,12018
20488,11527,20677,11631
20730,11537,20909,11642
20727,11567,20903,11687
20511,11552,20705,11658
20629,12000,20805,12113
20625,12035,20799,12148
20521,11988,20682,12093
20506,12013,20673,12131
20688,11905,20868,12005
20762,11953,20912,12053
20750,11985,20911,12094
20675,11952,20842,12059
21151,12070,21328,12184
21205,12079,21375,12187
21158,12120,21326,12238
21200,12126,21373,12239
20669,11817,20851,11917
21178,11399,21355,11519
21233,11710,21413,11833
20611,11523,20793,11627
20570,11561,20776,11673
20645,11296,20830,11388
20758,11316,20937,11430
20901,11443,21078,11553
21233,11324,21424,11451
20579,11730,20745,11838
20582,11395,20775,11479
20735,11395,20923,11496
20746,11661,20913,11785
20890,11659,21049,11790
22006,11354,22205,11483
21771,11505,21957,11629
21801,11543,21997,11667
22027,11396,22219,11535
21898,11428,22089,11550
21919,11463,22106,11595
21914,11640,22084,11757
21833,11572,22025,11708
21810,11591,21989,11721
21807,11652,21996,11785
21905,11711,22097,11842
22047,11780,22229,11913
22266,11864,22471,12004
22120,11843,22318,11984
22152,11532,22328,11657
21594,11505,21776,11629
21587,11677,21773,11822
21676,11889,21860,12037
21990,11295,22180,11412
22071,11757,22272,11892
22285,11608,22454,11741
22575,11985,22754,12120
22586,12011,22773,12150
22575,12064,22761,12193
22632,12100,22815,12233
22957,11987,23137,12119
22971,12067,23160,12193
22698,11772,23302,11907
23236,11898,23420,12061
23337,11828,23527,11975
22795,11535,22992,11697
22847,11843,23024,11970
23101,11982,23305,12119
22696,11647,22872,11753
22851,11719,23024,11823
22990,11839,23188,11970
22937,11655,23090,11763
